,iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
58,59,0.0327809,8.18254,8.21532,14,11,1693,1938,11.3808,10.5744,11.3808,1131.84694,0
59,60,0.0319274,2.15911,2.19103,35,8,1736,1978,10.0642,7.01375,17.0779,1151.1158699999999,0
60,61,0.0324126,3.74833,3.78074,11,2,1747,1991,12.2186,11.1015,12.2186,1167.11521,0
61,62,0.0319764,6.2819,6.31387,27,25,1774,2041,8.59981,8.35186,8.599839999999999,1182.02892,0
62,63,0.034248,3.99843,4.03268,11,2,1785,2051,12.446,10.7295,12.446,1198.5076,0
63,64,0.0337506,6.50623,6.53998,21,17,1806,2085,10.7924,7.48109,10.792409999999999,1215.83999,0
64,65,0.032287,8.75667,8.78896,11,7,1817,2101,11.5627,11.1269,11.5627,1236.19165,0
65,66,0.032877,4.64229,4.67516,30,15,1862,2145,9.84817,7.62919,17.4774,1258.34421,0
66,67,0.0324254,6.25661,6.28903,12,4,1874,2160,12.0907,10.351,12.0908,1276.72404,0
67,68,0.0339793,8.47469,8.50867,16,14,1890,2189,10.0505,10.7346,10.0505,1295.28321,0
68,69,0.0347012,5.34261,5.37731,13,2,1903,2202,12.0527,11.1534,12.0528,1312.71332,0
69,70,0.035752,3.87452,3.91027,26,8,1929,2233,9.65394,8.05987,9.653929999999999,1326.27752,0
70,71,0.0343153,5.44218,5.47649,13,4,1942,2249,12.2564,10.016,12.256400000000001,1344.01041,0
71,72,0.0345719,2.47192,2.50649,31,7,1980,2284,9.74624,7.99253,17.7388,1364.2557000000002,0
72,73,0.0359384,8.65828,8.69422,18,14,1998,2312,11.3678,10.2969,11.3677,1384.3176200000003,0
73,74,0.033526,4.78255,4.81607,32,12,2042,2353,9.59562,7.10227,16.6979,1405.8315900000002,0
74,75,0.0329108,5.01721,5.05012,13,4,2055,2368,12.063,10.8949,12.063099999999999,1422.9448100000002,0
75,76,0.0354605,3.99465,4.03011,41,9,2105,2416,8.30123,7.46044,15.7617,1442.7366200000001,0
76,77,0.0356094,7.94164,7.97725,9,10,2114,2434,11.9094,11.4266,11.909399999999998,1462.62327,0
77,78,0.0370924,7.86511,7.9022,33,35,2182,2495,8.41361,6.17311,14.5867,1485.11217,0
78,79,0.0361493,5.88584,5.92199,12,10,2194,2515,12.3867,10.8154,12.386700000000001,1503.4208600000002,0
79,80,0.0360288,7.08858,7.12461,34,23,2251,2569,8.39067,7.01895,15.4096,1525.9550700000002,0
80,81,0.0363815,8.9111,8.94748,13,7,2264,2589,11.5192,10.9469,11.519300000000001,1546.4218500000002,0
81,82,0.0356082,4.22617,4.26178,38,11,2313,2632,9.77833,6.61266,16.391,1567.07463,0
82,83,0.0382644,4.86501,4.90328,15,6,2328,2652,11.5369,10.7008,11.536900000000001,1583.5148100000001,0
83,84,0.0366139,8.74304,8.77965,33,22,2383,2704,8.55247,6.84506,15.3976,1607.69206,0
84,85,0.0384783,7.86596,7.90444,12,10,2395,2725,11.7316,10.4247,11.731700000000002,1627.3282000000002,0
85,86,0.0382754,6.51916,6.55744,35,22,2452,2780,8.58581,7.34553,15.9314,1649.8170400000001,0
