,iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time, dump
0,1,0.324512,5.21006,5.53457,13,4,13,17,11.5119,10.8161,11.511899999999999,27.862569999999998,0
1,2,0.330876,3.74804,4.07892,34,10,57,61,8.7574,7.78526,16.5427,48.48419,0
2,3,0.332504,4.07382,4.40633,28,15,100,104,8.63597,7.5983,16.2343,69.12482,0
3,4,0.333199,3.10311,3.43631,10,0,110,114,12.2006,1.34e-07,12.200699865999999,84.761829866,1
4,5,0.335441,7.79745,8.13289,9,0,119,123,11.404,1.61e-07,11.404099838999999,104.298819705,2
5,6,0.33509,7.63759,7.97268,16,12,135,151,11.4142,10.6898,11.4142,123.68569970499999,2
6,7,0.3327,8.91489,9.24759,14,5,149,169,11.6947,10.6398,11.6947,144.627989705,2
7,8,0.336194,5.8883,6.2245,9,0,158,178,12.421,1.38e-07,12.420999861999999,163.273489567,3
8,9,0.337477,6.36443,6.7019,33,16,207,227,9.47115,6.76064,16.2318,186.207189567,3
9,10,0.334709,4.70104,5.03575,17,7,224,251,11.7548,9.57267,11.75483,202.997769567,3
10,11,0.334408,6.04313,6.37754,35,20,279,305,8.64306,6.71652,15.3596,224.73490956700002,3
11,12,0.337146,4.54489,4.88204,37,12,328,354,8.96466,6.62121,15.5859,245.20284956700002,3
12,13,0.335521,4.78494,5.12046,34,20,382,408,7.82677,7.60984,15.4366,265.759909567,3
13,14,0.337805,6.20012,6.53793,29,20,431,456,8.61686,7.56093,16.1778,288.47563956700003,3
14,15,0.336524,7.08908,7.4256,18,6,449,480,11.7385,9.69999,11.738510000000002,307.639749567,3
15,16,0.335956,9.06485,9.40081,24,28,473,532,10.1964,6.36516,10.196439999999999,327.236999567,3
16,17,0.318545,2.4773,2.79585,8,0,481,540,12.9563,1.25e-07,12.956299875000001,342.989149442,4
17,18,0.317037,0.791581,1.10862,12,5,493,555,11.9865,10.5824,11.9865,356.084269442,4
18,19,0.316797,8.66021,8.97701,26,15,534,594,10.2232,9.23188,19.4551,384.516379442,4
19,20,0.317361,0.425847,0.743208,0,0,534,594,12.4894,1.18e-07,12.489399881999999,397.74898732400004,5
20,21,0.313132,0.185779,0.498911,27,8,569,629,9.59308,10.4091,20.0022,418.250098324,5
21,22,0.315161,6.51922,6.83438,10,0,579,639,11.2065,1.36e-07,11.206499864,436.290978188,6
22,23,0.333277,6.117,6.45028,12,10,591,661,12.2273,10.5372,12.227300000000001,454.968558188,6
23,24,0.33535,4.78488,5.12023,21,9,612,690,10.5774,8.59727,10.577330000000002,470.666118188,6
24,25,0.334773,2.23871,2.57348,38,12,662,739,9.75088,6.81532,16.5662,489.805798188,6
25,26,0.334214,4.62598,4.96019,30,12,704,780,9.12692,7.25663,16.3836,511.149588188,6
26,27,0.33563,7.63549,7.97112,34,24,762,836,8.14008,7.51888,15.659,534.779708188,6
27,28,0.333723,8.10484,8.43856,12,13,774,860,11.2144,10.1364,11.2144,554.432668188,6
28,29,0.335391,4.86034,5.19573,8,0,782,868,12.3952,1.52e-07,12.395299848,572.0236980359999,7
29,30,0.337162,7.64004,7.9772,6,0,788,874,12.2951,1.31e-07,12.295099869,592.2959979049999,8
30,31,0.331152,5.76195,6.09311,10,0,798,884,12.1898,8.7e-08,12.189799913,610.578907818,9
31,32,0.337151,5.59745,5.9346,12,4,810,898,12.4731,10.8028,12.4732,628.9867078179999,9
32,33,0.327203,8.56169,8.88889,9,0,819,906,11.6707,1.52e-07,11.670699848,649.5462976659999,10
