,iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
58,59,0.217275,4.15538,4.37266,30,10,1496,1463,8.77694,8.43399,17.2109,1104.9978957990004,41
59,60,0.218314,5.01731,5.23562,9,0,1505,1471,12.5278,1.38e-07,12.527799861999998,1122.7613156610005,42
60,61,0.219721,5.48026,5.69998,33,24,1562,1526,8.95141,7.04309,15.9945,1144.4557956610006,42
61,62,0.217409,9.21445,9.43186,31,32,1625,1584,9.53093,7.32032,16.8513,1170.7389556610005,42
62,63,0.193255,1.44949,1.64275,24,0,1649,1606,10.416,8.7e-08,10.416,1182.7977056610005,43
63,64,0.192935,9.65841,9.85134,7,0,1656,1613,12.0968,9.5e-08,12.096799905,1204.7458455660005,44
64,65,0.194525,9.25569,9.45022,0,0,1656,1613,12.8151,1.29e-07,12.815099871,1227.0111654370005,45
65,66,0.218285,7.2268,7.44509,35,16,1707,1659,9.4379,6.75066,16.1886,1250.6448554370004,45
66,67,0.21528,9.58336,9.79864,16,0,1723,1674,11.4132,1.23e-07,11.413199877,1271.8566953140005,46
67,68,0.218156,2.93288,3.15103,35,9,1767,1717,9.75937,8.18742,17.9468,1292.9545253140004,46
68,69,0.218287,5.1239,5.34219,15,0,1782,1730,11.7358,1.35e-07,11.735799864999999,1310.0325151790005,47
69,70,0.218742,4.31137,4.53011,10,0,1792,1740,11.8792,1.31e-07,11.879199869,1326.4418250480005,48
70,71,0.217623,8.02476,8.24239,27,25,1844,1789,7.69771,7.94258,15.6403,1350.3245150480004,48
71,72,0.220166,9.85395,10.0741,14,0,1858,1802,10.6822,1.35e-07,10.682199865,1371.0808149130005,49
72,73,0.218699,4.47208,4.69078,28,16,1902,1839,10.8828,7.07471,17.9575,1393.7290949130006,49
73,74,0.217004,5.95841,6.17542,33,24,1959,1894,7.59433,7.07182,14.6662,1414.5707149130005,49
74,75,0.219687,5.58642,5.80611,15,0,1974,1908,12.1235,1.06e-07,12.123499894,1432.5003248070004,50
