,iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time, dump
59,60,0.341156,7.95567,8.29683,29,25,1832,1781,9.23204,7.64133,16.8734,1382.0718070700002,14
60,61,0.33873,2.84821,3.18694,9,0,1841,1790,12.1592,1.33e-07,12.159199867,1397.4179469370001,15
61,62,0.337594,7.22989,7.56748,12,11,1864,1812,11.9767,10.5431,22.5198,1427.505226937,15
62,63,0.338749,5.26935,5.60809,12,3,1879,1826,11.616,10.9562,22.5722,1455.685516937,15
63,64,0.337455,2.53068,2.86814,10,0,1889,1835,12.2342,1.4e-07,12.23419986,1470.7878567970001,16
64,65,0.342148,5.57938,5.92153,23,13,1925,1870,9.86876,8.6529,18.5217,1495.2310867970002,16
65,66,0.338904,5.13033,5.46923,35,17,1977,1918,9.55325,7.91574,17.469,1518.1693167970002,16
66,67,0.340615,5.41923,5.75985,13,6,1996,1936,11.9533,10.2522,22.2055,1546.1346667970001,16
67,68,0.340139,4.73283,5.07296,17,5,2018,1957,11.7695,10.7051,22.4747,1573.682326797,16
68,69,0.338822,4.65525,4.99408,23,15,2056,1994,9.69327,9.14302,18.8363,1597.5127067970002,16
69,70,0.341429,7.42675,7.76818,20,15,2091,2027,11.7643,8.69568,20.46,1625.7408867970003,16
70,71,0.351064,5.48173,5.83279,10,0,2101,2036,11.5843,1.38e-07,11.584299862,1643.1579766590003,17
71,72,0.34541,2.80589,3.1513,25,10,2136,2067,9.41673,9.14448,18.5612,1664.8704766590004,17
72,73,0.345862,2.96261,3.30847,11,0,2147,2078,11.8863,1.22e-07,11.886299878,1680.0652465370003,18
73,74,0.341743,5.48367,5.82542,12,5,2164,2093,11.9008,10.5625,22.4633,1708.3539665370004,18
74,75,0.34259,3.75022,4.09281,15,8,2187,2112,12.1025,10.1138,22.2163,1734.6630765370003,18
75,76,0.345881,3.04377,3.38965,17,7,2211,2135,10.9015,10.4351,21.3366,1759.3893265370002,18
76,77,0.346123,4.94175,5.28787,33,14,2258,2180,9.11244,7.57779,16.6902,1781.3673965370003,18
77,78,0.345192,8.58659,8.93179,31,28,2317,2236,8.20789,6.54488,14.7528,1805.0519865370004,18
78,79,0.347182,3.91074,4.25792,12,3,2332,2251,12.5646,9.76815,22.3328,1831.6427065370003,18
79,80,0.348912,5.48126,5.83017,36,18,2386,2301,8.93695,6.72792,15.6649,1853.1377765370003,18
80,81,0.342774,3.60068,3.94345,35,6,2427,2338,9.2885,7.42715,16.7157,1873.7969265370002,18
81,82,0.342641,5.50517,5.84781,12,3,2442,2352,11.9809,11.027,23.008,1902.6527365370002,18
82,83,0.339772,6.68114,7.02091,10,0,2452,2362,12.0253,2.73e-07,12.025299727,1921.6989462640001,19
83,84,0.343408,5.82504,6.16845,30,24,2506,2413,9.19941,7.27656,16.476,1944.3433962640001,19
84,85,0.343541,2.30689,2.65043,35,8,2549,2454,8.15252,8.26,16.4125,1963.4063262640002,19
85,86,0.344539,2.61461,2.95915,16,3,2568,2471,11.9894,10.6188,22.6083,1988.9737762640002,19
86,87,0.345731,3.79075,4.13648,39,18,2625,2524,8.3718,8.13341,16.5052,2009.6154562640002,19
87,88,0.343034,2.85259,3.19562,15,3,2643,2541,11.4139,10.8933,22.3072,2035.118276264,19
88,89,0.345591,3.39453,3.74012,21,2,2666,2562,11.9565,9.91874,21.8753,2060.733696264,19
89,90,0.345139,7.22734,7.57248,40,25,2731,2623,8.66731,6.79084,15.4582,2083.764376264,19
90,91,0.345112,4.49778,4.8429,11,0,2742,2634,11.6522,1.35e-07,11.652299865,2100.259576129,20
91,92,0.342775,6.21325,6.55602,41,15,2798,2685,10.1546,6.0561,16.2107,2123.026296129,20
92,93,0.348893,8.48929,8.83819,15,12,2825,2709,10.9882,11.2762,22.2644,2154.128886129,20
93,94,0.349569,5.89902,6.24859,21,12,2858,2741,10.5025,7.42855,17.9311,2178.308576129,20
94,95,0.350705,6.6784,7.02911,23,25,2906,2781,10.3357,7.81145,18.1472,2203.4848861289997,20
95,96,0.34999,3.08375,3.43374,14,3,2923,2793,12.678,10.372,23.05,2229.968626129,20
96,97,0.351217,2.37639,2.7276,35,14,2972,2834,8.58658,8.3726,16.9592,2249.655426129,20
97,98,0.351946,8.49683,8.84878,12,10,2994,2855,10.1992,11.2789,21.4781,2279.982306129,20
98,99,0.353452,5.18601,5.53947,31,20,3045,2901,10.2697,6.56805,16.8378,2302.359576129,20
99,100,0.354628,4.23363,4.58826,9,0,3054,2909,12.5369,1.22e-07,12.536899878,2319.484736007,21
100,101,0.355825,7.94494,8.30076,34,16,3104,2952,8.87962,7.47833,16.358,2344.1434960069996,21
101,102,0.352041,4.89075,5.24279,15,10,3129,2974,11.8231,10.4461,22.2692,2371.6554860069996,21
102,103,0.349148,8.01512,8.36427,17,6,3152,2993,11.5148,10.3306,21.8454,2401.8651560069998,21
103,104,0.350259,6.0471,6.39736,12,6,3170,3007,12.2439,11.8036,24.0476,2432.3101160069996,21
104,105,0.35371,4.65274,5.00645,28,8,3206,3039,10.9371,7.45878,18.3959,2455.7124660069994,21
105,106,0.351065,4.81538,5.16644,30,12,3248,3075,9.96547,8.69045,18.6559,2479.5348060069996,21
106,107,0.350652,4.3429,4.69355,12,11,3271,3095,11.8042,10.6596,22.4638,2506.6921560069995,21
