iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
66,0.218285,7.2268,7.44509,35,16,51,1659,9.4379,6.75066,16.1886,1315.95,45
67,0.21528,9.58336,9.79864,16,0,16,1674,11.4132,1.23E-07,11.4132,1338.17,46
68,0.218156,2.93288,3.15103,35,9,44,1717,9.75937,8.18742,17.9468,1360.27,46
69,0.218287,5.1239,5.34219,15,0,15,1730,11.7358,1.35E-07,11.7358,1378.36,47
70,0.218742,4.31137,4.53011,10,0,10,1740,11.8792,1.31E-07,11.8792,1395.77,48
71,0.217623,8.02476,8.24239,27,25,52,1789,7.69771,7.94258,15.6403,1420.66,48
72,0.220166,9.85395,10.0741,14,0,14,1802,10.6822,1.35E-07,10.6822,1442.42,49
73,0.218699,4.47208,4.69078,28,16,44,1839,10.8828,7.07471,17.9575,1466.07,49
74,0.217004,5.95841,6.17542,33,24,57,1894,7.59433,7.07182,14.6662,1487.92,49
75,0.219687,5.58642,5.80611,15,0,15,1908,12.1235,1.06E-07,12.1235,1506.85,50
76,0.217769,3.16362,3.38139,14,0,14,1920,12.47,1.27E-07,12.47,1523.71,51
77,0.219383,5.58566,5.80504,14,0,14,1934,12.1206,1.23E-07,12.1206,1542.64,52
78,0.222184,4.10224,4.32442,14,0,14,1947,12.313,1.42E-07,12.313,1560.28,53
79,0.219452,7.22589,7.44534,17,0,17,1961,11.4601,1.44E-07,11.4601,1580.19,54
80,0.221481,4.94215,5.16363,29,12,41,1998,9.74755,8.36889,18.1165,1604.47,54
81,0.220546,7.79011,8.01066,15,0,15,2012,11.1619,1.29E-07,11.162,1624.65,55
82,0.219667,6.27798,6.49765,36,17,53,2063,9.54766,6.54671,16.0944,1648.25,55
83,0.218792,3.35305,3.57184,17,0,17,2079,11.5237,1.22E-07,11.5237,1664.35,56
84,0.219953,6.58699,6.80694,31,16,47,2124,9.05983,7.35704,16.4169,1688.57,56
85,0.219391,4.93876,5.15815,11,0,11,2132,11.8684,1.48E-07,11.8684,1706.61,57
86,0.219484,5.39941,5.6189,11,0,11,2142,12.2112,1.33E-07,12.2112,1725.44,58
87,0.221501,5.81338,6.03488,16,0,16,2157,10.8814,8.50E-08,10.8814,1743.36,59
88,0.221875,6.36574,6.58762,41,23,64,2216,7.29254,7.94291,15.2355,1766.19,59
