iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
66,0.032877,4.64229,4.67516,30,15,45,2145,9.84817,7.62919,17.4774,1734.37,0
67,0.0324254,6.25661,6.28903,12,4,16,2160,12.0907,10.351,22.4418,1764.1,0
68,0.0339793,8.47469,8.50867,16,14,30,2189,10.0505,10.7346,20.7851,1794.4,0
69,0.0347012,5.34261,5.37731,13,2,15,2202,12.0527,11.1534,23.2062,1823.99,0
70,0.035752,3.87452,3.91027,26,8,34,2233,9.65394,8.05987,17.7138,1846.62,0
71,0.0343153,5.44218,5.47649,13,4,17,2249,12.2564,10.016,22.2724,1875.37,0
72,0.0345719,2.47192,2.50649,31,7,38,2284,9.74624,7.99253,17.7388,1896.62,0
73,0.0359384,8.65828,8.69422,18,14,32,2312,11.3678,10.2969,21.6646,1927.98,0
74,0.033526,4.78255,4.81607,32,12,44,2353,9.59562,7.10227,16.6979,1950.5,0
75,0.0329108,5.01721,5.05012,13,4,17,2368,12.063,10.8949,22.958,1979.52,0
76,0.0354605,3.99465,4.03011,41,9,50,2416,8.30123,7.46044,15.7617,2000.31,0
77,0.0356094,7.94164,7.97725,9,10,19,2434,11.9094,11.4266,23.336,2032.63,0
78,0.0370924,7.86511,7.9022,33,35,68,2495,8.41361,6.17311,14.5867,2056.12,0
79,0.0361493,5.88584,5.92199,12,10,22,2515,12.3867,10.8154,23.2021,2086.25,0
80,0.0360288,7.08858,7.12461,34,23,57,2569,8.39067,7.01895,15.4096,2109.79,0
81,0.0363815,8.9111,8.94748,13,7,20,2589,11.5192,10.9469,22.4662,2142.21,0
82,0.0356082,4.22617,4.26178,38,11,49,2632,9.77833,6.61266,16.391,2163.87,0
83,0.0382644,4.86501,4.90328,15,6,21,2652,11.5369,10.7008,22.2377,2192.01,0
84,0.0366139,8.74304,8.77965,33,22,55,2704,8.55247,6.84506,15.3976,2217.19,0
85,0.0384783,7.86596,7.90444,12,10,22,2725,11.7316,10.4247,22.1564,2248.26,0
86,0.0382754,6.51916,6.55744,35,22,57,2780,8.58581,7.34553,15.9314,2271.75,0
87,0.0360964,6.90454,6.94064,10,14,24,2800,12.2455,10.4472,22.6927,2302.39,0
88,0.0386808,2.25184,2.29052,28,6,34,2830,11.017,7.65597,18.673,2324.36,0
89,0.040106,6.99906,7.03916,9,7,16,2846,12.3882,9.80746,22.1956,2354.6,0
90,0.0373205,6.9179,6.95523,36,17,53,2897,8.41711,8.03714,16.4543,2379.01,0
91,0.039275,6.2754,6.31467,14,4,18,2914,12.0417,10.0171,22.0589,2408.39,0
92,0.0378791,5.55636,5.59423,34,12,46,2955,9.12013,7.57096,16.6911,2431.68,0
93,0.0373543,5.81953,5.85688,16,9,25,2976,11.8548,10.3485,22.2033,2460.74,0
94,0.0391493,5.88776,5.92691,30,19,49,3021,9.11981,7.23921,16.359,2484.03,0
95,0.0396951,6.61972,6.65942,15,7,22,3041,12.6389,10.1317,22.7706,2514.47,0
96,0.0383612,2.97743,3.01579,25,4,29,3066,9.54511,9.31755,18.8627,2537.35,0
97,0.0396808,4.39232,4.432,10,5,15,3079,11.9484,11.177,23.1254,2565.91,0
98,0.042317,5.37731,5.41963,25,18,43,3116,10.2998,8.19429,18.4941,2590.83,0
99,0.0410098,6.7772,6.81821,11,4,15,3130,11.9791,10.6974,22.6766,2621.33,0
100,0.042042,8.27371,8.31575,13,12,25,3153,11.8035,10.3126,22.1162,2652.77,0
101,0.0414064,9.02789,9.0693,9,8,17,3169,11.9784,12.0334,24.0117,2686.85,0
