,iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time, dump
50,51,0.332707,5.34381,5.67652,25,17,1083,1523,10.4432,7.56959,10.443209999999999,870.0742772519998,13
51,52,0.335391,6.29594,6.63133,14,8,1097,1543,12.468,10.154,12.468,889.1736072519998,13
52,53,0.331857,9.5196,9.85146,11,0,1108,1553,11.7187,1.82e-07,11.718699818,910.7437670699998,14
53,54,0.336665,8.01404,8.3507,15,4,1123,1572,10.8514,10.3087,10.8514,929.9458670699997,14
54,55,0.338429,1.51138,1.84981,12,3,1135,1587,11.675,10.6849,11.674999999999999,943.4706770699997,14
55,56,0.336547,2.06624,2.40278,32,9,1167,1624,9.70145,7.42234,9.701459999999999,955.5749170699997,14
56,57,0.337908,4.26477,4.60268,30,16,1197,1669,8.9765,7.85005,8.97655,969.1541470699998,14
57,58,0.341008,5.68581,6.02682,25,19,1222,1712,9.97874,6.70365,9.978750000000002,985.1597170699998,14
58,59,0.344542,5.29803,5.64258,12,9,1234,1732,12.0963,9.85159,12.09631,1002.8986070699998,14
59,60,0.341156,7.95567,8.29683,29,25,1263,1781,9.23204,7.64133,9.23207,1020.4275070699998,14
60,61,0.33873,2.84821,3.18694,9,0,1272,1790,12.1592,1.33e-07,12.159199867,1035.7736469369997,15
61,62,0.337594,7.22989,7.56748,12,11,1284,1812,11.9767,10.5431,11.9767,1055.3178269369998,15
62,63,0.338749,5.26935,5.60809,12,3,1296,1826,11.616,10.9562,11.615999999999998,1072.5419169369998,15
63,64,0.337455,2.53068,2.86814,10,0,1306,1835,12.2342,1.4e-07,12.23419986,1087.6442567969998,16
64,65,0.342148,5.57938,5.92153,23,13,1329,1870,9.86876,8.6529,9.868799999999998,1103.4345867969998,16
65,66,0.338904,5.13033,5.46923,35,17,1364,1918,9.55325,7.91574,9.553260000000002,1118.457076797,16
66,67,0.340615,5.41923,5.75985,13,6,1377,1936,11.9533,10.2522,11.9533,1136.170226797,16
67,68,0.340139,4.73283,5.07296,17,5,1394,1957,11.7695,10.7051,11.769599999999999,1153.012786797,16
68,69,0.338822,4.65525,4.99408,23,15,1417,1994,9.69327,9.14302,9.693280000000001,1167.700146797,16
69,70,0.341429,7.42675,7.76818,20,15,1437,2027,11.7643,8.69568,11.764320000000001,1187.232646797,16
70,71,0.351064,5.48173,5.83279,10,0,1447,2036,11.5843,1.38e-07,11.584299862,1204.649736659,17
71,72,0.34541,2.80589,3.1513,25,10,1472,2067,9.41673,9.14448,9.41672,1217.2177566589999,17
72,73,0.345862,2.96261,3.30847,11,0,1483,2078,11.8863,1.22e-07,11.886299878,1232.4125265369998,18
73,74,0.341743,5.48367,5.82542,12,5,1495,2093,11.9008,10.5625,11.9008,1250.1387465369999,18
74,75,0.34259,3.75022,4.09281,15,8,1510,2112,12.1025,10.1138,12.102500000000001,1266.334056537,18
75,76,0.345881,3.04377,3.38965,17,7,1527,2135,10.9015,10.4351,10.9015,1280.625206537,18
76,77,0.346123,4.94175,5.28787,33,14,1560,2180,9.11244,7.57779,9.11241,1295.025486537,18
77,78,0.345192,8.58659,8.93179,31,28,1591,2236,8.20789,6.54488,8.207920000000001,1312.165196537,18
78,79,0.347182,3.91074,4.25792,12,3,1603,2251,12.5646,9.76815,12.564649999999999,1328.987766537,18
79,80,0.348912,5.48126,5.83017,36,18,1639,2301,8.93695,6.72792,8.936979999999998,1343.7549165369999,18
80,81,0.342774,3.60068,3.94345,35,6,1674,2338,9.2885,7.42715,9.288549999999997,1356.9869165369998,18
81,82,0.342641,5.50517,5.84781,12,3,1686,2352,11.9809,11.027,11.981,1374.8157265369998,18
82,83,0.339772,6.68114,7.02091,10,0,1696,2362,12.0253,2.73e-07,12.025299727,1393.8619362639997,19
83,84,0.343408,5.82504,6.16845,30,24,1726,2413,9.19941,7.27656,9.19944,1409.2298262639997,19
84,85,0.343541,2.30689,2.65043,35,8,1761,2454,8.15252,8.26,8.152500000000002,1420.0327562639998,19
85,86,0.344539,2.61461,2.95915,16,3,1777,2471,11.9894,10.6188,11.9895,1434.9814062639998,19
86,87,0.345731,3.79075,4.13648,39,18,1834,2524,8.3718,8.13341,16.5052,1455.6230862639998,19
87,88,0.343034,2.85259,3.19562,15,3,1849,2541,11.4139,10.8933,11.413900000000002,1470.2326062639997,19
88,89,0.345591,3.39453,3.74012,21,2,1870,2562,11.9565,9.91874,11.95656,1485.9292862639998,19
89,90,0.345139,7.22734,7.57248,40,25,1935,2623,8.66731,6.79084,15.4582,1508.9599662639998,19
90,91,0.345112,4.49778,4.8429,11,0,1946,2634,11.6522,1.35e-07,11.652299865,1525.4551661289997,20
91,92,0.342775,6.21325,6.55602,41,15,2002,2685,10.1546,6.0561,16.2107,1548.2218861289998,20
92,93,0.348893,8.48929,8.83819,15,12,2017,2709,10.9882,11.2762,10.988199999999999,1568.0482761289998,20
93,94,0.349569,5.89902,6.24859,21,12,2038,2741,10.5025,7.42855,10.50255,1584.7994161289998,20
94,95,0.350705,6.6784,7.02911,23,25,2061,2781,10.3357,7.81145,10.33575,1602.1642761289997,20
95,96,0.34999,3.08375,3.43374,14,3,2075,2793,12.678,10.372,12.678,1618.2760161289998,20
96,97,0.351217,2.37639,2.7276,35,14,2110,2834,8.58658,8.3726,8.586599999999999,1629.5902161289998,20
97,98,0.351946,8.49683,8.84878,12,10,2122,2855,10.1992,11.2789,10.199200000000001,1648.6381961289999,20
98,99,0.353452,5.18601,5.53947,31,20,2153,2901,10.2697,6.56805,10.269750000000002,1664.447416129,20
99,100,0.354628,4.23363,4.58826,9,0,2162,2909,12.5369,1.22e-07,12.536899878,1681.572576007,21
100,101,0.355825,7.94494,8.30076,34,16,2196,2952,8.87962,7.47833,8.87967,1698.7530060069998,21
101,102,0.352041,4.89075,5.24279,15,10,2211,2974,11.8231,10.4461,11.823100000000002,1715.818896007,21
102,103,0.349148,8.01512,8.36427,17,6,2228,2993,11.5148,10.3306,11.514800000000001,1735.6979660069999,21
103,104,0.350259,6.0471,6.39736,12,6,2240,3007,12.2439,11.8036,12.244,1754.339326007,21
104,105,0.35371,4.65274,5.00645,28,8,2268,3039,10.9371,7.45878,10.93712,1770.2828960069999,21
105,106,0.351065,4.81538,5.16644,30,12,2298,3075,9.96547,8.69045,9.965449999999999,1785.4147860069997,21
106,107,0.350652,4.3429,4.69355,12,11,2310,3095,11.8042,10.6596,11.8042,1801.9125360069997,21
