iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time, dump
67,0.340615,5.41923,5.75985,13,6,19,1936,11.9533,10.2522,22.2055,1612.5,16
68,0.340139,4.73283,5.07296,17,5,22,1957,11.7695,10.7051,22.4747,1641,16
69,0.338822,4.65525,4.99408,23,15,38,1994,9.69327,9.14302,18.8363,1665.8,16
70,0.341429,7.42675,7.76818,20,15,35,2027,11.7643,8.69568,20.46,1695.1,16
71,0.351064,5.48173,5.83279,10,0,10,2036,11.5843,1.38E-07,11.5843,1713.5,17
72,0.34541,2.80589,3.1513,25,10,35,2067,9.41673,9.14448,18.5612,1736.2,17
73,0.345862,2.96261,3.30847,11,0,11,2078,11.8863,1.22E-07,11.8863,1752.4,18
74,0.341743,5.48367,5.82542,12,5,17,2093,11.9008,10.5625,22.4633,1781.7,18
75,0.34259,3.75022,4.09281,15,8,23,2112,12.1025,10.1138,22.2163,1809,18
76,0.345881,3.04377,3.38965,17,7,24,2135,10.9015,10.4351,21.3366,1834.8,18
77,0.346123,4.94175,5.28787,33,14,47,2180,9.11244,7.57779,16.6902,1857.7,18
78,0.345192,8.58659,8.93179,31,28,59,2236,8.20789,6.54488,14.7528,1882.4,18
79,0.347182,3.91074,4.25792,12,3,15,2251,12.5646,9.76815,22.3328,1910,18
80,0.348912,5.48126,5.83017,36,18,54,2301,8.93695,6.72792,15.6649,1932.6,18
81,0.342774,3.60068,3.94345,35,6,41,2338,9.2885,7.42715,16.7157,1954.1,18
82,0.342641,5.50517,5.84781,12,3,15,2352,11.9809,11.027,23.008,1984.1,18
83,0.339772,6.68114,7.02091,10,0,10,2362,12.0253,2.73E-07,12.0253,2004.1,19
84,0.343408,5.82504,6.16845,30,24,54,2413,9.19941,7.27656,16.476,2027.7,19
85,0.343541,2.30689,2.65043,35,8,43,2454,8.15252,8.26,16.4125,2047.8,19
86,0.344539,2.61461,2.95915,16,3,19,2471,11.9894,10.6188,22.6083,2074.4,19
87,0.345731,3.79075,4.13648,39,18,57,2524,8.3718,8.13341,16.5052,2096,19
88,0.343034,2.85259,3.19562,15,3,18,2541,11.4139,10.8933,22.3072,2122.5,19
89,0.345591,3.39453,3.74012,21,2,23,2562,11.9565,9.91874,21.8753,2149.2,19
90,0.345139,7.22734,7.57248,40,25,65,2623,8.66731,6.79084,15.4582,2173.2,19
91,0.345112,4.49778,4.8429,11,0,11,2634,11.6522,1.35E-07,11.6523,2191.1,20
92,0.342775,6.21325,6.55602,41,15,56,2685,10.1546,6.0561,16.2107,2214,20
93,0.348893,8.48929,8.83819,15,12,27,2709,10.9882,11.2762,22.2644,2247,20
94,0.349569,5.89902,6.24859,21,12,33,2741,10.5025,7.42855,17.9311,2271,20
95,0.350705,6.6784,7.02911,23,25,48,2781,10.3357,7.81145,18.1472,2298,20
96,0.34999,3.08375,3.43374,14,3,17,2793,12.678,10.372,23.05,2326,20
97,0.351217,2.37639,2.7276,35,14,49,2834,8.58658,8.3726,16.9592,2346,20
98,0.351946,8.49683,8.84878,12,10,22,2855,10.1992,11.2789,21.4781,2377,20
99,0.353452,5.18601,5.53947,31,20,51,2901,10.2697,6.56805,16.8378,2401,20
100,0.354628,4.23363,4.58826,9,0,9,2909,12.5369,1.22E-07,12.5369,2419,21
101,0.355825,7.94494,8.30076,34,16,50,2952,8.87962,7.47833,16.358,2445,21
102,0.352041,4.89075,5.24279,15,10,25,2974,11.8231,10.4461,22.2692,2473,21
103,0.349148,8.01512,8.36427,17,6,23,2993,11.5148,10.3306,21.8454,2504,21
104,0.350259,6.0471,6.39736,12,6,18,3007,12.2439,11.8036,24.0476,2536,21
105,0.35371,4.65274,5.00645,28,8,36,3039,10.9371,7.45878,18.3959,2560,21
106,0.351065,4.81538,5.16644,30,12,42,3075,9.96547,8.69045,18.6559,2585,21
107,0.350652,4.3429,4.69355,12,11,23,3095,11.8042,10.6596,22.4638,2613,21
