,iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
52,53,0.0315807,4.69086,4.72244,15,5,1794,1735,12.537,9.57221,22.1092,1334.0468500000006,0
53,54,0.0292412,5.47667,5.50591,29,12,1835,1774,9.61327,8.05453,17.6678,1357.2205600000007,0
54,55,0.0320737,7.72048,7.75255,13,10,1858,1796,12.3689,9.92471,22.2937,1387.2668100000008,0
55,56,0.0315037,5.64894,5.68044,30,21,1909,1845,9.58459,7.37539,16.96,1409.9072500000007,0
56,57,0.0303891,7.38236,7.41275,14,8,1931,1867,10.7302,10.7865,21.5167,1438.8367000000007,0
57,58,0.0323529,8.71949,8.75184,34,18,1983,1917,9.38552,6.60889,15.9944,1463.5829400000007,0
58,59,0.0327809,8.18254,8.21532,14,11,2008,1938,11.3808,10.5744,21.9552,1493.7534600000006,0
59,60,0.0319274,2.15911,2.19103,35,8,2051,1978,10.0642,7.01375,17.0779,1513.0223900000005,0
60,61,0.0324126,3.74833,3.78074,11,2,2064,1991,12.2186,11.1015,23.3201,1540.1232300000006,0
61,62,0.0319764,6.2819,6.31387,27,25,2116,2041,8.59981,8.35186,16.9517,1563.3888000000006,0
62,63,0.034248,3.99843,4.03268,11,2,2129,2051,12.446,10.7295,23.1755,1590.5969800000007,0
63,64,0.0337506,6.50623,6.53998,21,17,2167,2085,10.7924,7.48109,18.2735,1615.4104600000007,0
64,65,0.032287,8.75667,8.78896,11,7,2185,2101,11.5627,11.1269,22.6896,1646.8890200000008,0
65,66,0.032877,4.64229,4.67516,30,15,2230,2145,9.84817,7.62919,17.4774,1669.0415800000007,0
66,67,0.0324254,6.25661,6.28903,12,4,2246,2160,12.0907,10.351,22.4418,1697.7724100000007,0
67,68,0.0339793,8.47469,8.50867,16,14,2276,2189,10.0505,10.7346,20.7851,1727.0661800000007,0
68,69,0.0347012,5.34261,5.37731,13,2,2291,2202,12.0527,11.1534,23.2062,1755.6496900000006,0
69,70,0.035752,3.87452,3.91027,26,8,2325,2233,9.65394,8.05987,17.7138,1777.2737600000007,0
70,71,0.0343153,5.44218,5.47649,13,4,2342,2249,12.2564,10.016,22.2724,1805.0226500000008,0
71,72,0.0345719,2.47192,2.50649,31,7,2380,2284,9.74624,7.99253,17.7388,1825.2679400000009,0
72,73,0.0359384,8.65828,8.69422,18,14,2412,2312,11.3678,10.2969,21.6646,1855.6267600000008,0
73,74,0.033526,4.78255,4.81607,32,12,2456,2353,9.59562,7.10227,16.6979,1877.1407300000008,0
74,75,0.0329108,5.01721,5.05012,13,4,2473,2368,12.063,10.8949,22.958,1905.1488500000007,0
75,76,0.0354605,3.99465,4.03011,41,9,2523,2416,8.30123,7.46044,15.7617,1924.9406600000007,0
76,77,0.0356094,7.94164,7.97725,9,10,2542,2434,11.9094,11.4266,23.336,1956.2539100000006,0
77,78,0.0370924,7.86511,7.9022,33,35,2610,2495,8.41361,6.17311,14.5867,1978.7428100000006,0
78,79,0.0361493,5.88584,5.92199,12,10,2632,2515,12.3867,10.8154,23.2021,2007.8669000000007,0
79,80,0.0360288,7.08858,7.12461,34,23,2689,2569,8.39067,7.01895,15.4096,2030.4011100000007,0
80,81,0.0363815,8.9111,8.94748,13,7,2709,2589,11.5192,10.9469,22.4662,2061.814790000001,0
81,82,0.0356082,4.22617,4.26178,38,11,2758,2632,9.77833,6.61266,16.391,2082.4675700000007,0
82,83,0.0382644,4.86501,4.90328,15,6,2779,2652,11.5369,10.7008,22.2377,2109.608550000001,0
83,84,0.0366139,8.74304,8.77965,33,22,2834,2704,8.55247,6.84506,15.3976,2133.785800000001,0
84,85,0.0384783,7.86596,7.90444,12,10,2856,2725,11.7316,10.4247,22.1564,2163.846640000001,0
85,86,0.0382754,6.51916,6.55744,35,22,2913,2780,8.58581,7.34553,15.9314,2186.335480000001,0
86,87,0.0360964,6.90454,6.94064,10,14,2937,2800,12.2455,10.4472,22.6927,2215.968820000001,0
87,88,0.0386808,2.25184,2.29052,28,6,2971,2830,11.017,7.65597,18.673,2236.9323400000007,0
88,89,0.040106,6.99906,7.03916,9,7,2987,2846,12.3882,9.80746,22.1956,2266.1671000000006,0
89,90,0.0373205,6.9179,6.95523,36,17,3040,2897,8.41711,8.03714,16.4543,2289.5766300000005,0
90,91,0.039275,6.2754,6.31467,14,4,3058,2914,12.0417,10.0171,22.0589,2317.9502000000007,0
