iteration,recover,entiretime,formerflip,laterflip,sumflip,pageflip,hammertime,sumtime,
71, 0.338065, 6.75177, 7.08983, 12, 10, 22, 2218, 21.753, 1881.92,
72, 0.338421, 6.29393, 6.63235, 17, 10, 27, 2243, 21.455, 1911.02,
73, 0.342996, 3.6373, 3.98029, 16, 4, 20, 2259, 22.1029, 1938.1,
74, 0.339635, 3.55625, 3.89589, 9, 5, 14, 2272, 23.3102, 1966.31,
75, 0.342431, 5.4212, 5.76363, 18, 10, 28, 2296, 21.4721, 1994.55,
76, 0.341049, 8.96072, 9.30177, 25, 23, 48, 2336, 18.0889, 2022.95,
77, 0.341905, 5.96796, 6.30986, 12, 10, 22, 2357, 21.4407, 2051.7,
78, 0.340037, 2.13989, 2.47993, 41, 19, 60, 2410, 15.9108, 2071.1,
79, 0.339797, 3.39544, 3.73524, 12, 1, 13, 2421, 23.2503, 2099.09,
80, 0.341246, 5.84257, 6.18381, 31, 18, 49, 2467, 16.4963, 2122.77,
81, 0.340593, 5.59385, 5.93444, 30, 12, 42, 2505, 16.9875, 2146.7,
82, 0.343161, 3.60152, 3.94468, 14, 4, 18, 2520, 21.9363, 2173.59,
83, 0.342747, 3.50955, 3.8523, 14, 9, 23, 2542, 21.1352, 2199.58,
84, 0.342332, 5.44183, 5.78416, 25, 14, 39, 2576, 19.7096, 2226.08,
85, 0.343342, 6.32766, 6.671, 10, 8, 18, 2593, 22.9056, 2256.66,
86, 0.344778, 5.18267, 5.52745, 15, 8, 23, 2615, 21.7119, 2284.9,
87, 0.343411, 7.08885, 7.43226, 10, 9, 19, 2633, 21.9852, 2315.32,
88, 0.340431, 3.43342, 3.77385, 11, 4, 15, 2644, 23.3184, 2343.42,
89, 0.341474, 5.9592, 6.30067, 35, 23, 58, 2700, 14.7502, 2365.48,
90, 0.341935, 5.097, 5.43893, 13, 7, 20, 2719, 22.2286, 2394.15,
91, 0.341943, 4.38101, 4.72295, 28, 13, 41, 2754, 18.0601, 2417.94,
92, 0.342671, 7.22755, 7.57022, 11, 4, 15, 2767, 23.1951, 2449.71,
93, 0.345065, 6.2084, 6.55346, 18, 12, 30, 2796, 22.0589, 2479.32,
94, 0.345624, 6.83717, 7.1828, 23, 17, 40, 2831, 18.9675, 2506.48,
95, 0.34689, 5.75386, 6.10075, 10, 4, 14, 2844, 23.307, 2536.89,
96, 0.34696, 6.92091, 7.26787, 13, 14, 27, 2868, 21.5091, 2566.67,
97, 0.345749, 9.0316, 9.37735, 12, 6, 18, 2884, 22.7256, 2599.78,
98, 0.346589, 8.33137, 8.67795, 12, 11, 23, 2906, 21.8028, 2631.26,
